,Model,Budget,Dataset,Version,test_mse,test_mae
463,conv_100K,32,W2_10,3,0.05,0.2126
464,conv_100K,32,W2_10,4,0.0629,0.2419
465,conv_100K,512,W2_10,0,0.0093,0.0807
466,conv_100K,512,W2_10,1,0.0117,0.0919
467,conv_100K,512,W2_10,2,0.0066,0.0687
468,conv_100K,512,W2_10,3,0.0131,0.0993
469,conv_100K,512,W2_10,4,0.0226,0.1347
470,conv_100K,64,W2_10,0,0.0845,0.2732
471,conv_100K,64,W2_10,1,0.1687,0.3838
472,conv_100K,64,W2_10,2,0.0577,0.2244
473,conv_100K,64,W2_10,3,0.0773,0.2597
474,conv_100K,64,W2_10,4,0.0328,0.1626
475,conv_2M,128,W2_10,0,0.0304,0.1306
476,conv_2M,128,W2_10,1,0.0171,0.1052
477,conv_2M,128,W2_10,2,0.0446,0.1565
478,conv_2M,128,W2_10,3,0.0758,0.2188
479,conv_2M,128,W2_10,4,0.0601,0.2008
480,conv_2M,256,W2_10,0,0.0317,0.1394
481,conv_2M,256,W2_10,1,0.0147,0.085
482,conv_2M,256,W2_10,2,0.0273,0.1282
483,conv_2M,256,W2_10,3,0.1132,0.264
484,conv_2M,256,W2_10,4,0.0442,0.1711
485,conv_2M,32,W2_10,0,0.1091,0.2532
486,conv_2M,32,W2_10,1,0.0243,0.1301
487,conv_2M,32,W2_10,2,0.0215,0.1174
488,conv_2M,32,W2_10,3,0.1931,0.3473
489,conv_2M,32,W2_10,4,0.1529,0.3326
490,conv_2M,512,W2_10,0,0.014,0.0853
491,conv_2M,512,W2_10,1,0.0103,0.0814
492,conv_2M,512,W2_10,2,0.017,0.1101
493,conv_2M,512,W2_10,3,0.0176,0.1118
494,conv_2M,512,W2_10,4,0.0291,0.1415
495,conv_2M,64,W2_10,0,0.0407,0.1597
496,conv_2M,64,W2_10,1,0.0952,0.2261
497,conv_2M,64,W2_10,2,0.1376,0.3196
498,conv_2M,64,W2_10,3,0.085,0.2126
499,conv_2M,64,W2_10,4,0.0581,0.1877
500,conv_500K,128,W2_10,0,0.029,0.1176
501,conv_500K,128,W2_10,1,0.0522,0.1903
502,conv_500K,128,W2_10,2,0.0185,0.0827
503,conv_500K,128,W2_10,3,0.0121,0.0754
504,conv_500K,128,W2_10,4,0.0453,0.1892
505,conv_500K,256,W2_10,0,0.0825,0.2453
506,conv_500K,256,W2_10,1,0.0391,0.1457
507,conv_500K,256,W2_10,2,0.0221,0.1246
508,conv_500K,256,W2_10,3,0.0457,0.177
509,conv_500K,256,W2_10,4,0.0333,0.1457
510,conv_500K,32,W2_10,0,0.0214,0.1151
511,conv_500K,32,W2_10,1,0.5309,0.6503
